2764, 0
198, 1
3982, 2
441, 3
5703, 4
8630, 5
4088, 6
5339, 7
87, 8
3240, 9
3607, 10
26, 11
8238, 12
1034, 13
7078, 14
6818, 15
118, 16
6078, 17
5514, 18
458, 19
3168, 20
211, 21
7059, 22
8629, 23
5789, 24
2391, 25
460, 26
5456, 27
8468, 28
8838, 29
3947, 30
6147, 31
4137, 32
2911, 33
5652, 34
3259, 35
254, 36
2092, 37
229, 38
2436, 39
8226, 40
32, 41
3664, 42
669, 43
3830, 44
7312, 45
8465, 46
150, 47
1455, 48
311, 49
1081, 50
3112, 51
5463, 52
7178, 53
3699, 54
6563, 55
403, 56
302, 57
8747, 58
1098, 59
19, 60
4898, 61
3436, 62
4362, 63
911, 64
446, 65
2159, 66
6385, 67
298, 68
201, 69
4018, 70
2514, 71
2843, 72
60, 73
6181, 74
7794, 75
1040, 76
233, 77
1334, 78
4195, 79
1898, 80
6531, 81
8014, 82
8063, 83
3526, 84
426, 85
4859, 86
2002, 87
2196, 88
4853, 89
8051, 90
839, 91
4340, 92
5808, 93
587, 94
250, 95
7780, 96
4441, 97
1116, 98
1992, 99
625, 100
6272, 101
1088, 102
7517, 103
4680, 104
3857, 105
5192, 106
7278, 107
7302, 108
7635, 109
1594, 110
2182, 111
4830, 112
445, 113
196, 114
5049, 115
6081, 116
83, 117
89, 118
7859, 119
1578, 120
2289, 121
2384, 122
6848, 123
1447, 124
5778, 125
2416, 126
374, 127
3440, 128
7067, 129
1841, 130
4406, 131
322, 132
2007, 133
39, 134
328, 135
1355, 136
6476, 137
8419, 138
1553, 139
5688, 140
2952, 141
4813, 142
8312, 143
7226, 144
909, 145
8088, 146
163, 147
4640, 148
3879, 149
5022, 150
6880, 151
1069, 152
289, 153
7264, 154
831, 155
8580, 156
8123, 157
2817, 158
7800, 159
2989, 160
2910, 161
3983, 162
8108, 163
4214, 164
1743, 165
3374, 166
4160, 167
5678, 168
1867, 169
2836, 170
1246, 171
4788, 172
405, 173
6415, 174
5104, 175
8609, 176
4481, 177
5393, 178
27, 179
8797, 180
7190, 181
1502, 182
6836, 183
5867, 184
1235, 185
696, 186
4051, 187
248, 188
332, 189
7447, 190
2893, 191
4267, 192
8098, 193
6019, 194
6064, 195
887, 196
6454, 197
6367, 198
7402, 199
4014, 200
7148, 201
730, 202
2518, 203
7505, 204
3486, 205
412, 206
7367, 207
481, 208
125, 209
226, 210
5750, 211
1624, 212
1263, 213
6000, 214
1723, 215
8975, 216
4397, 217
2691, 218
3723, 219
7511, 220
1183, 221
78, 222
1970, 223
3214, 224
6209, 225
2136, 226
5322, 227
4297, 228
6437, 229
3807, 230
1363, 231
5561, 232
8425, 233
7113, 234
8324, 235
40, 236
6925, 237
5163, 238
307, 239
1963, 240
200, 241
1737, 242
103, 243
8095, 244
6529, 245
3242, 246
3235, 247
5390, 248
1926, 249
8770, 250
